34,Ethan,Horvath
32,Gabriel,Osho
4,Tom,Lockyer
29,Amari'i,Bell
2,Cody,Drameh
18,Jordan,Clark
13,Marvelous,Nakamba
17,Pelly-Ruddock,Mpanzu
45,Alfie,Doughty
9,Carlton,Morris
11,Elijah,Adebayo
